"hdic_resblock_id","rent_type","n","mean_price"
1111027374527,1,2,71.15468409586
1111027374527,2,1,133.125
1111027374529,1,13,94.1776760446246
1111027374530,1,2,111.82089552239
1111027374531,0,1,121.875
1111027374531,1,8,139.82663812674
1111027374532,1,1,136.66666666667
1111027374532,2,3,292.518518518517
1111027374535,1,1,130.59701492537
1111027374537,1,5,105.443044444786
1111027374537,2,2,316.161616161615
1111027374538,0,1,97.4025974026
1111027374538,1,5,96.493549411866
1111027374538,2,3,284.39471639472
1111027374541,0,1,62.35294117647
1111027374542,0,1,111.11111111111
1111027374542,1,2,87.4686716792
1111027374542,2,1,208.66666666667
1111027374543,0,1,112.24489795918
1111027374544,0,1,98.83720930233
1111027374544,1,3,104.502659879827
1111027374544,2,1,285.83333333333
1111027374545,0,1,63.72549019608
1111027374545,1,2,62.161016949155
1111027374548,1,1,128.57142857143
1111027374551,0,1,107.14285714286
1111027374551,1,4,110.342347064315
1111027374551,2,3,236.319088319087
1111027374552,1,2,112.345679012345
1111027374552,2,11,241.859604447839
1111027374556,0,1,92.94871794872
1111027374556,1,7,124.86806686115
1111027374557,1,4,95.06745199245
1111027374557,2,4,204.321969696967
1111027374561,1,2,121.74074074074
1111027374561,2,1,394.28571428571
1111027374562,1,3,104.581818181817
1111027374568,0,1,125.92592592593
1111027374568,1,3,106.49506763542
1111027374569,0,3,120.72262479871
1111027374569,1,13,118.143893356847
1111027374575,1,2,109.06832298137
1111027374577,1,2,118.33451202263
1111027374578,1,3,143.34134016583
1111027374582,1,1,87.27272727273
1111027374583,1,1,80
1111027374585,0,1,135.41666666667
1111027374585,1,10,146.549532779932
1111027374585,2,12,275.428062678062
1111027374586,0,2,125.42372881356
1111027374586,1,6,125.639326498288
1111027374586,2,1,394.28571428571
1111027374587,0,1,100
1111027374587,1,4,108.547453703703
1111027374587,2,2,286.541666666665
1111027374589,1,2,103.63886703383
1111027374590,1,1,79.54545454545
1111027374591,1,2,60.241250424735
1111027374591,2,5,169.673076923076
1111027374592,0,1,88.88888888889
1111027374592,1,1,114.54545454545
1111027374593,2,4,309.416666666667
1111027374594,1,4,56.0090420015525
1111027374599,1,1,100
1111027374600,0,1,112.67605633803
1111027374600,1,3,127.21978021978
1111027374600,2,12,308.724716051922
1111027374605,1,1,106.12244897959
1111027374608,0,7,117.032295250933
1111027374608,1,10,114.415652887019
1111027374608,2,2,269.204545454545
1111027374611,1,2,121.311475409835
1111027374615,0,1,76.92307692308
1111027374615,1,1,77.77777777778
1111027374616,1,3,97.0841929462633
1111027374616,2,1,252.66666666667
1111027374617,0,1,101.69491525424
1111027374617,1,1,111.32075471698
1111027374617,2,5,319.7
1111027374618,1,9,124.667157214576
1111027374618,2,1,307.5
1111027374619,2,1,294.16666666667
1111027374620,0,1,81.96721311475
1111027374620,1,2,95.695970695975
1111027374621,1,2,116.95970695971
1111027374621,2,4,302.770833333332
1111027374622,1,3,110.483100406383
1111027374623,0,1,50
1111027374627,1,4,91.63870265197
1111027374628,1,4,80.5366424116425
1111027374629,1,1,45.90163934426
1111027374631,0,1,100
1111027374631,1,12,99.45649475458
1111027374631,2,1,336.25
1111027374632,0,1,64.18918918919
1111027374632,1,1,66.36363636364
1111027374633,1,4,48.1242246269275
1111027374633,2,9,141.301513785173
1111027374635,0,1,116.39344262295
1111027374635,1,1,104.16666666667
1111027374636,1,1,132.5
1111027374637,1,2,90
1111027374637,2,5,237.368298368296
1111027374642,1,3,113.978213507623
1111027374642,2,1,42.66666666667
1111027374645,0,1,76.36363636364
1111027374645,1,1,64.70588235294
1111027374646,0,1,61.34969325153
1111027374646,1,2,75.848925848925
1111027374646,2,3,150.797619047617
1111027374649,0,3,85.0539291217267
1111027374649,1,22,101.137146010904
1111027374650,1,1,92.39130434783
1111027374654,0,2,90.75386597938
1111027374654,1,28,98.2589253028929
1111027374654,2,2,261.5
1111027374656,0,1,87.17948717949
1111027374656,1,18,86.9698332640317
1111027374656,2,14,249.449896998426
1111027374668,0,2,107.43574168798
1111027374668,1,3,101.753934593693
1111027374671,0,1,117.02127659574
1111027374671,1,1,113.15789473684
1111027374674,0,1,50
1111027374674,1,6,63.7960435621733
1111027374677,1,1,94.33962264151
1111027374678,0,8,110.226277722881
1111027374678,1,30,125.974149954842
1111027374680,0,5,83.835345729148
1111027374680,1,14,97.186465903495
1111027374680,2,4,298.958333333333
1111027374681,1,3,100.162804785703
1111027374682,1,3,105.51181822071
1111027374682,2,2,315.833333333335
1111027374683,1,4,96.098484848485
1111027374684,2,3,231.900793650793
1111027374685,1,2,92.238562091505
1111027374686,1,1,85.41666666667
1111027374687,1,3,79.8441558441567
1111027374689,0,1,106.55737704918
1111027374689,1,4,102.75652837835
1111027374690,1,5,141.639206057198
1111027374691,0,2,98.023143683705
1111027374691,1,10,108.450745973797
